CoralID,System,Species,Growth,PolypRetention
46,GAL,Muricea pendula,-0.01,91.77
46,GNV,Muricea pendula,0.03,125.57
46,HML,Muricea pendula,0.16,124.25
49,GAL,Muricea pendula,0.26,99.07
49,GNV,Muricea pendula,0.56,119.79
49,HML,Muricea pendula,0.64,114.27
50,GAL,Muricea pendula,0.92,149.85
50,GNV,Muricea pendula,0.82,116.01
50,HML,Muricea pendula,0.5,95.84
56,GAL,Muricea pendula,-0.19,99.45
56,GNV,Muricea pendula,-0.01,86.05
56,HML,Muricea pendula,0.23,75.77
63,GAL,Muricea pendula,-0.01,125.92
63,GNV,Muricea pendula,0.06,122.56
63,HML,Muricea pendula,0.02,116.92
64,GAL,Muricea pendula,0.04,111.01
64,GNV,Muricea pendula,0.08,104.54
64,HML,Muricea pendula,0.51,111.53
44,GAL,Swiftia exserta,1.54,109.31
44,GNV,Swiftia exserta,0.98,153.18
44,HML,Swiftia exserta,0.4,97.27
47,GAL,Swiftia exserta,-0.01,112.5
47,GNV,Swiftia exserta,0.54,133.87
47,HML,Swiftia exserta,2.37,111.02
48,GAL,Swiftia exserta,0.65,117.05
48,GNV,Swiftia exserta,1.24,156.44
48,HML,Swiftia exserta,2.98,99.06
55,GAL,Swiftia exserta,3.52,117.17
55,GNV,Swiftia exserta,-0.28,73.2
55,HML,Swiftia exserta,1.77,110.73
61,GAL,Swiftia exserta,0.19,100.39
61,GNV,Swiftia exserta,3.59,138.96
61,HML,Swiftia exserta,2.1,108.23
67,GAL,Swiftia exserta,-0.32,94.01
67,GNV,Swiftia exserta,1.24,82.09
67,HML,Swiftia exserta,-0.15,91.06
40,GAL,Thesea nivea,0.2,106.88
40,GNV,Thesea nivea,0.19,23.63
40,HML,Thesea nivea,0.29,99.01
41,GAL,Thesea nivea,-0.05,94.78
41,GNV,Thesea nivea,0.06,98.87
41,HML,Thesea nivea,0.24,93.65
42,GAL,Thesea nivea,-0.19,99.99
42,GNV,Thesea nivea,0.02,44.68
42,HML,Thesea nivea,0.35,117.86
59,GAL,Thesea nivea,0.04,99.04
59,GNV,Thesea nivea,-0.05,50.82
59,HML,Thesea nivea,0.04,95.86
60,GAL,Thesea nivea,-0.44,72.6
60,GNV,Thesea nivea,-0.36,34.65
60,HML,Thesea nivea,0.55,105.27
65,GAL,Thesea nivea,0.33,139.33
65,GNV,Thesea nivea,0.09,144.57
65,HML,Thesea nivea,-0.12,79.87
